ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC2;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer40, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase1;void go(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #e490df96b63e49c131e18d0d0d581cb465706b4a0ffb198ce8e29ec1b0dc0638);First parameter (with value "DES/ECB/PKCS5Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r3)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase1;void go(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r4.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer41, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase1;void go(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #630802d4a857389b9afd57b5580d103c84d54c4f40c5dac4dea7bbc41515b794);First parameter (with value "DES") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase3;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer43, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase3;void go(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #f061f6d3586fedec8b09b95a8506e46cfc4e4e002bc139bf9728cb6e0150bbf7);First parameter (with value "RC4") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase3;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #97791a07ce6dbd980aa4382ea5e6552ff2bbc9b306d824494b8228b51feba0a0);First parameter (with value "RC4") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase12;void method1(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #a70bf9b3aaac20af6da5b572dcef276ee373a0657081e1524afe2f061f6a605);First parameter (with value "Blowfish") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase12;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer44, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase12;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #a19a90a9212d0467bc89fc0b3c1af96e5ea1b38147d20c18a312d0dd23fc55c);First parameter (with value "Blowfish") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.Crypto6;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer45, r3)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto6;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #67a3777b82554ce413ecf48167ee68cb8fed5deda948a8eef885177d57e986a3);First parameter (with value "IDEA") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r4)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto6;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #ee4db92cb818780357d2f62edc949fbb217c6a4d37a75a907a20da033b1cfafe);First parameter (with value "IDEA") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r2 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>($r1)
TypestateError;org.cryptoapi.bench.brokencrypto.Crypto6;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #67a3777b82554ce413ecf48167ee68cb8fed5deda948a8eef885177d57e986a3);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r8 = virtualinvoke r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>(r7)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase5;void go();violating CrySL rule for javax.crypto.Cipher (on Object #6caf309fbc575fafdc1c4f439d41af66a729b04ba27699f4a562c94c155a2010);First parameter (with value "IDEA") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer48)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase5;void go();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer47, r1)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase5;void go();violating CrySL rule for javax.crypto.KeyGenerator (on Object #7f21a5272a3d9f386281c4ab6d29c1478c3fadc737d5e5b18729daf6abdd24c);First parameter (with value "IDEA") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r0 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(varReplacer46)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase1;void go();violating CrySL rule for javax.crypto.KeyGenerator (on Object #ed650373f8884d3a12d76cc735781a46f362e9a28f66a4f2ba38aedfa198e468);First parameter (with value "DES") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r0 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(varReplacer52)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase1;void go();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer54, r1)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase1;void go();violating CrySL rule for javax.crypto.Cipher (on Object #660887c46d212c98dac17baee26534ba0ba84b5497b713dbb8fba6796a8c260c);First parameter (with value "DES/ECB/PKCS5Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer53)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase9;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #45d0a715a2f54123155b7e57a38bb6d014778bce159022318f4d42cd0d879559);First parameter (with value "IDEA") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase9;void go(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #89232cf7ba736b7a64a440b05b5a28d92f78f95868c74ddd42c5415b37715fd3);First parameter (with value "IDEA") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase9;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer55, r2)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase3;void go();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer61, r1)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase3;void go();violating CrySL rule for javax.crypto.Cipher (on Object #abf6508b4d021bb8b7b53b81efd6ebf55ff3c08ab9f79ef4ddb1bce3f4ee5d11);First parameter (with value "RC4") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer59)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase3;void go();violating CrySL rule for javax.crypto.KeyGenerator (on Object #95ddc3584ef83ff0ac614a77a14baeb3c8783dd163124e6e8f6f224e63999f5);First parameter (with value "RC4") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r0 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(varReplacer60)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase4;void go();violating CrySL rule for javax.crypto.KeyGenerator (on Object #ffca83a67411b642905117f2a6ef31b46554ca2a92ea75cd64428029166ea97);First parameter (with value "RC2") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r0 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(varReplacer65)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase4;void go();violating CrySL rule for javax.crypto.Cipher (on Object #e03d15209a849206bfee94d7b7bbae3e880cee622ab729fe7045ee6fdf36a6a6);First parameter (with value "RC2") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer66)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase4;void go();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer67, r1)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase2;void go();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer68, r1)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase2;void go();violating CrySL rule for javax.crypto.Cipher (on Object #9f68de236ac778336433872d7b904330312130511630767feef072b0b519cd59);First parameter (with value "Blowfish") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer70)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoBBCase2;void go();violating CrySL rule for javax.crypto.KeyGenerator (on Object #d45e29b3512cd374b18e6413ce19f5c7dbe145d1df81fec74a2cb920342989ed);First parameter (with value "Blowfish") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r0 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(varReplacer69)
ConstraintError;org.cryptoapi.bench.brokenmac.BrokenMacBBCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Mac (on Object #961e041eb6875263b249af126e94fdeadacb2e286bd270b20163a29b2cfd52f2);First parameter (with value "HmacMD5") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};r4 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>(varReplacer82)
TypestateError;org.cryptoapi.bench.brokenmac.BrokenMacBBCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Mac (on Object #961e041eb6875263b249af126e94fdeadacb2e286bd270b20163a29b2cfd52f2);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte),javax.crypto.Mac: void update(byte[],int,int);r8 = virtualinvoke r4.<javax.crypto.Mac: byte[] doFinal(byte[])>(r7)
ConstraintError;org.cryptoapi.bench.brokenmac.BrokenMacBBCase2;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Mac (on Object #350113f491c3a16caf3cb15ba5262da368a73a5d6826de66fc23b21de1c4e14f);First parameter (with value "HmacSHA1") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};r4 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>(varReplacer83)
TypestateError;org.cryptoapi.bench.brokenmac.BrokenMacBBCase2;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Mac (on Object #350113f491c3a16caf3cb15ba5262da368a73a5d6826de66fc23b21de1c4e14f);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte),javax.crypto.Mac: void update(byte[],int,int);r8 = virtualinvoke r4.<javax.crypto.Mac: byte[] doFinal(byte[])>(r7)
TypestateError;org.cryptoapi.bench.brokenmac.BrokenMacCorrected;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Mac (on Object #ade897a75ee48d6a3e45f7c0ea90edc68d9f205ded721778941d28c85592f4fe);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte),javax.crypto.Mac: void update(byte[],int,int);r8 = virtualinvoke r4.<javax.crypto.Mac: byte[] doFinal(byte[])>(r7)
ConstraintError;org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoBBCase1;void go();violating CrySL rule for javax.crypto.Cipher (on Object #69eaceace13d33186946187626deea136af3416ea566b4804e03c7beab282a61);First parameter (with value "AES/ECB/PKCS5Padding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer91)
ConstraintError;org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoABICase3;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #6c72436d3d7d696ba918cf3b17cd5b6a526337d6c097d50efe504fd003f7000f);First parameter (with value "AES/ECB/PKCS5Padding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r2)
ConstraintError;org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoABICase1;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #e7b338a42e63a2ac13c012d89bf1b669f2fdbaef5401efd7423eda25d46acc7f);First parameter (with value "AES/ECB/PKCS5Padding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r2)
ConstraintError;org.cryptoapi.bench.ecbcrypto.CryptoECB1;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #8cdb658900eb01b7071f19e39d079429a9a932da46558188c24eb1841ce48eb4);First parameter (with value "AES/ECB/PKCS5Padding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r4)
ConstraintError;org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoABPSCase1;void go(int);violating CrySL rule for javax.crypto.Cipher (on Object #6a8ebc89a8a72d27919b658420f892f118ed4f141da7767349f0b20088610127);First parameter (with value "AES/ECB/PKCS5Padding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer99)
ConstraintError;org.cryptoapi.bench.ecbcrypto.EcbInSymmCryptoABMC1;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #3f76bab37d0f383ade6028d418dfbbdc9d7891cc754af56c7f424ca294618f9f);First parameter (with value "AES/ECB/PKCS5Padding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r2)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase1;void go(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ba4a560a0d2747cccd0a9d69f73dab9a03c057fe03353906cc1540f6f7c4e3b5);Second parameter should never be of type java.lang.String.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r7)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase1;void go(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ba4a560a0d2747cccd0a9d69f73dab9a03c057fe03353906cc1540f6f7c4e3b5);Second parameter should never be hardcoded.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r7)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase3;void method2(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #cb192313c590e2b55b7f5d91e779505abfbe156b4a616097aa3383035844cc56);Second parameter should never be of type java.lang.String.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r7)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase3;void method2(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #cb192313c590e2b55b7f5d91e779505abfbe156b4a616097aa3383035844cc56);Second parameter should never be hardcoded.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r7)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase2;void go();violating CrySL rule for java.security.KeyStore (on Object #86c561113c877aae9ac2dd373655526a67ce7fac166276677075679afb0b86f2);Second parameter should never be of type java.lang.String.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r6)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABICase2;void go();violating CrySL rule for java.security.KeyStore (on Object #86c561113c877aae9ac2dd373655526a67ce7fac166276677075679afb0b86f2);Second parameter should never be hardcoded.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r6)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.CryptoPredictableKeyStorePassword1;void method1(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #2cb48526ac1735e89af5fd5b9e6ef6ffdba47d11f58949e308873bd29e5f7f9e);Second parameter should never be of type java.lang.String.;virtualinvoke r2.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r6)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.CryptoPredictableKeyStorePassword1;void method1(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #2cb48526ac1735e89af5fd5b9e6ef6ffdba47d11f58949e308873bd29e5f7f9e);Second parameter should never be hardcoded.;virtualinvoke r2.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r6)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABHCase1;void go();violating CrySL rule for java.security.KeyStore (on Object #bf9f982088ca6acbbf674dcd4220b05b13f4d412f1a2f1a6d3d15000872862f2);Second parameter should never be of type java.lang.String.;virtualinvoke r6.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r10, $r12)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABHCase1;void go();violating CrySL rule for java.security.KeyStore (on Object #bf9f982088ca6acbbf674dcd4220b05b13f4d412f1a2f1a6d3d15000872862f2);Second parameter should never be hardcoded.;virtualinvoke r6.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r10, $r12)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABMC1;void go(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #80ed4862655a70c6a33215cc4326f35670d4c7728c1cdb09293101eaa6ccac54);Second parameter should never be of type java.lang.String.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r7)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABMC1;void go(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #80ed4862655a70c6a33215cc4326f35670d4c7728c1cdb09293101eaa6ccac54);Second parameter should never be hardcoded.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r7)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordCorrected;void go();violating CrySL rule for java.security.KeyStore (on Object #88ee7e52c58f83e46f96edc048635e4d9f97e2b0878fa3db1cb9f8f5ac526163);Second parameter should never be of type java.lang.String.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r9, $r10)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordCorrected;void go();violating CrySL rule for java.security.KeyStore (on Object #88ee7e52c58f83e46f96edc048635e4d9f97e2b0878fa3db1cb9f8f5ac526163);Second parameter should never be hardcoded.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r9, $r10)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABHCase2;void go();violating CrySL rule for java.security.KeyStore (on Object #1d1efe9d8a2f3fdba1bfffe0287199dd4e8c8dbb4ec345039343f5f28b43502);Second parameter should never be of type java.lang.String.;virtualinvoke r9.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r13, $r14)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABHCase2;void go();violating CrySL rule for java.security.KeyStore (on Object #1d1efe9d8a2f3fdba1bfffe0287199dd4e8c8dbb4ec345039343f5f28b43502);Second parameter should never be hardcoded.;virtualinvoke r9.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r13, $r14)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordBBCase1;void go();violating CrySL rule for java.security.KeyStore (on Object #5999b827f1b22f6fd4ac25344934895747c6f12c90e982da436caeb2d8a8fc53);Second parameter should never be of type java.lang.String.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r6, $r7)
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordBBCase1;void go();violating CrySL rule for java.security.KeyStore (on Object #5999b827f1b22f6fd4ac25344934895747c6f12c90e982da436caeb2d8a8fc53);Second parameter should never be hardcoded.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r6, $r7)
NeverTypeOfError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABPSCase1;void go(int);violating CrySL rule for java.security.KeyStore (on Object #df191167594ad46da28b1c7428d41363e0c1ca6cf98564e920b39c93c66ff66d);Second parameter should never be of type java.lang.String.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r6)
