spec,code,site,cls,method,category,sec,runkeys,lines,apks,src,conf,why
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,zzf.zzG,com.google.android.gms.ads.internal.util.client.zzf,zzG,CASCADE_OF_VALUE_FAILURE,,99,488,1,com.google.android.gms:play-services-ads-api@@25.3.0:2,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,zzf.zzj,com.google.android.gms.ads.internal.util.client.zzf,zzj,CASCADE_OF_VALUE_FAILURE,,99,735,1,com.google.android.gms:play-services-ads-api@@25.3.0:6,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,AndroidUtilsLight.getPackageCertificateHashBytes,com.google.android.gms.common.util.AndroidUtilsLight,getPackageCertificateHashBytes,CASCADE_OF_VALUE_FAILURE,,198,257,2,com.google.android.gms:play-services-basement@@18.9.0:4,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,zzazv.zze,com.google.android.gms.internal.ads.zzazv,zze,CASCADE_OF_VALUE_FAILURE,,99,488,1,com.google.android.gms:play-services-ads@@25.3.0:5,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,zzgi.zzh,com.google.android.gms.measurement.internal.zzgi,zzh,CASCADE_OF_VALUE_FAILURE,,212,551,3,com.google.android.gms:play-services-measurement-impl@@23.2.0:29,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,zzop.zza,com.google.android.gms.measurement.internal.zzop,zza,CASCADE_OF_VALUE_FAILURE,,99,164,1,com.google.android.gms:play-services-measurement-impl@@22.1.0:176,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,MessageDigestHashFunction$MessageDigestHasher.hash,com.google.common.hash.MessageDigestHashFunction$MessageDigestHasher,hash,UNOBSERVED_CREATION,,14,16,1,MessageDigestHashFunction.java:167,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,MessageDigestHashFunction$MessageDigestHasher.update,com.google.common.hash.MessageDigestHashFunction$MessageDigestHasher,update,UNOBSERVED_CREATION,,14,16,1,MessageDigestHashFunction.java:149,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,CommonUtils.hash,com.google.firebase.crashlytics.internal.common.CommonUtils,hash,CASCADE_OF_VALUE_FAILURE,,297,1404,3,CommonUtils.java:169,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,HashUtils$Companion$getHashPrefixAndSuffix$2.invokeSuspend,com.password.monitor.utils.HashUtils$Companion$getHashPrefixAndSuffix$2,invokeSuspend,CASCADE_OF_VALUE_FAILURE,,48,63,1,HashUtils.kt:34,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,DiskCache.getCacheFile,com.sapuseven.untis.data.cache.DiskCache,getCacheFile,CASCADE_OF_VALUE_FAILURE,,55,56,1,DiskCache.kt:63,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,GettersKt.getChecksum,com.schwegelbin.openbible.logic.GettersKt,getChecksum,CASCADE_OF_VALUE_FAILURE,,64,277,1,Getters.kt:135,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,AccessPointsAdapterData.calculateChildType,com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData,calculateChildType,CASCADE_OF_VALUE_FAILURE,,99,360,1,AccessPointsAdapterData.kt:68,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,GraphWrapper.calculateGraphType,com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper,calculateGraphType,CASCADE_OF_VALUE_FAILURE,,54,214,1,GraphWrapper.kt:168,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,AeSimpleSHA1.SHA1,de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1,SHA1,CASCADE_OF_VALUE_FAILURE,,98,344,1,AeSimpleSHA1.java:16,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,Helper.getFingerprint,eu.faircode.email.Helper,getFingerprint,CASCADE_OF_VALUE_FAILURE,,43,47,1,Helper.java:3308,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,Util.md5Hex,github.paroj.dsub2000.util.Util,md5Hex,CASCADE_OF_VALUE_FAILURE,,99,282,1,Util.java:1007,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,DigestImpl.build-impl,io.ktor.util.DigestImpl,build-impl,CASCADE_OF_VALUE_FAILURE,,1,1,1,CryptoJvm.kt:58,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,DigestImpl.plusAssign-impl,io.ktor.util.DigestImpl,plusAssign-impl,CASCADE_OF_VALUE_FAILURE,,1,1,1,CryptoJvm.kt:51,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,FileID$Companion.createFID,io.matthewnelson.kmp.tor.runtime.FileID$Companion,createFID,UNOBSERVED_CREATION,,75,87,1,FileID.kt:59,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,FileID$Companion.createFID$lambda$0,io.matthewnelson.kmp.tor.runtime.FileID$Companion,createFID$lambda$0,UNOBSERVED_CREATION,,74,169,1,FileID.kt:57,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,StringUtils.calculateStringHash,io.sentry.util.StringUtils,calculateStringHash,CASCADE_OF_VALUE_FAILURE,,101,125,2,StringUtils.java:132,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,MiscUtilsKt.getMd5,me.timschneeberger.rootlessjamesdsp.utils.extensions.MiscUtilsKt,getMd5,CASCADE_OF_VALUE_FAILURE,,1,1,1,MiscUtils.kt:71,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,Schedule$Item.hashCode,net.gaast.giggity.Schedule$Item,hashCode,CASCADE_OF_VALUE_FAILURE,,86,234,1,Schedule.java:1152,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,ByteString.digest$jvm,okio.ByteString,digest$jvm,CASCADE_OF_VALUE_FAILURE,,3,3,1,ByteString.kt:103,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,ByteString.digest$okio,okio.ByteString,digest$okio,CASCADE_OF_VALUE_FAILURE,,699,3010,13,ByteString.kt:83,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,FileBasedConfig.hash,org.eclipse.jgit.storage.file.FileBasedConfig,hash,CASCADE_OF_VALUE_FAILURE,,5,5,1,FileBasedConfig.java:208,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,PinTab.getHashedPin,org.fossify.commons.views.PinTab,getHashedPin,CASCADE_OF_VALUE_FAILURE,,4,8,1,PinTab.kt:135,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,General.sha1,org.quantumbadger.redreader.common.General,sha1,CASCADE_OF_VALUE_FAILURE,,69,86,1,General.kt:540,high,
PBEKeySpecSpec,PBEKEYSPEC-CONSTR-00,UtilFunctions.encodePbkdf2,app.michaelwuensch.bitbanana.util.UtilFunctions,encodePbkdf2,GENUINE_PER_RULE,debatable,1,1,1,UtilFunctions.java:93,high,"PBKDF2WithHmacSHA1, 5000 iterations, app salt: hashing of the app PIN/password; below the rule floor of 10000 but PBKDF2-HMAC-SHA1 itself is not broken"
PBEKeySpecSpec,PBEKEYSPEC-CONSTR-00,AESObfuscator.<init>,com.google.android.vending.licensing.AESObfuscator,<init>,GENUINE_PER_RULE,debatable,99,227,1,AESObfuscator.java:59,high,"Google LVL AESObfuscator: key derived from public data (packageName+deviceId) with 1024 iterations, PBEWITHSHAAND256BITAES-CBC-BC; obfuscates the license cache, not a secrecy mechanism"
RSAKeyGenParameterSpecSpec,RSAKEYGENPARAMETERSPEC-KEYSIZE-00,CompositeIndex.<clinit>,org.bouncycastle.jcajce.provider.asymmetric.compositesignatures.CompositeIndex,<clinit>,GENUINE_PER_RULE,no,97,1095,1,Unknown Source:358,high,"RSA-3072 is a NIST-approved size (the rule list admits 1024 and rejects 3072); static table of composite-signature parameter specs, no key is generated"
SSLContextSpec,SSLCONTEXT-FORB-00,CustomCertService.<clinit>,at.bitfire.cert4android.CustomCertService,<clinit>,GENUINE_PER_RULE,no,5,6,1,CustomCertService.kt:65,high,SSLContext.getDefault().createSSLEngine() only to log enabled protocols/ciphers; not used for a connection
SSLContextSpec,SSLCONTEXT-ORDER-00,CustomCertService.<clinit>,at.bitfire.cert4android.CustomCertService,<clinit>,CASCADE_OF_VALUE_FAILURE,,5,6,1,CustomCertService.kt:65,high,
SSLContextSpec,SSLCONTEXT-PROTO-00,OkHttpClientProvider.configureTrustAllCertificates,de.lukasneugebauer.nextcloudcookbook.core.util.OkHttpClientProvider,configureTrustAllCertificates,GENUINE_PER_RULE,yes,75,96,1,OkHttpClientProvider.kt:74,high,"trust-all X509TrustManager + hostnameVerifier{true} behind the user preference allowSelfSignedCertificates; on Android ""SSL"" yields a TLS context, so the protocol string is not the weakness, the trust manager is"
SecretKeyFactorySpec,SECRETKEYFACTORY-ALG-00,UtilFunctions.encodePbkdf2,app.michaelwuensch.bitbanana.util.UtilFunctions,encodePbkdf2,GENUINE_PER_RULE,debatable,1,1,1,UtilFunctions.java:94,high,"PBKDF2WithHmacSHA1, 5000 iterations, app salt: hashing of the app PIN/password; below the rule floor of 10000 but PBKDF2-HMAC-SHA1 itself is not broken"
SecretKeyFactorySpec,SECRETKEYFACTORY-ALG-00,AESObfuscator.<init>,com.google.android.vending.licensing.AESObfuscator,<init>,GENUINE_PER_RULE,debatable,99,227,1,AESObfuscator.java:57,high,"Google LVL AESObfuscator: key derived from public data (packageName+deviceId) with 1024 iterations, PBEWITHSHAAND256BITAES-CBC-BC; obfuscates the license cache, not a secrecy mechanism"
SecretKeySpecSpec,SECRETKEYSPEC-ALG-00,HOTP.getHash,com.beemdevelopment.aegis.crypto.otp.HOTP,getHash,GENUINE_PER_RULE,no,2,2,1,HOTP.java:32,high,"HMAC-SHA1 is what RFC 4226/6238 specify for HOTP/TOTP; the token secret, not the hash, carries the security"
SecretKeySpecSpec,SECRETKEYSPEC-ALG-00,HOTP.hmac_sha1,org.cry.otp.HOTP,hmac_sha1,GENUINE_PER_RULE,no,1,1,1,HOTP.java:32,high,"HMAC-SHA1 is what RFC 4226/6238 specify for HOTP/TOTP; the token secret, not the hash, carries the security"
SecretKeySpecSpec,SECRETKEYSPEC-ALG-00,TOTP.hmac_sha,org.cry.otp.TOTP,hmac_sha,GENUINE_PER_RULE,no,3,3,1,TOTP.java:46,high,"HMAC-SHA1 is what RFC 4226/6238 specify for HOTP/TOTP; the token secret, not the hash, carries the security"
SecureRandomSpec,SECURERANDOM-ORDER-00,NonceKt$nonceGeneratorJob$1.invokeSuspend,io.ktor.util.NonceKt$nonceGeneratorJob$1,invokeSuspend,ARTIFACT_OTHER,,102,3324,2,Nonce.kt:81,high,
SecureRandomSpec,SECURERANDOM-ORDER-00,Encryptor.encrypt,io.treehouses.remote.ssh.Encryptor,encrypt,ARTIFACT_OTHER,,1,1,1,Encryptor.kt:65,high,
SecureRandomSpec,SECURERANDOM-ORDER-00,BasicEntropySourceProvider$1.getEntropy,org.spongycastle.crypto.prng.BasicEntropySourceProvider$1,getEntropy,UNOBSERVED_CREATION,,99,244,1,BasicEntropySourceProvider.java:53,high,
SecureRandomSpec,SECURERANDOM-ORDER-00,DRBG.createBaseRandom,org.spongycastle.jcajce.provider.drbg.DRBG,createBaseRandom,UNOBSERVED_CREATION,,99,488,1,DRBG.java:128,high,
SecureRandomSpec,SECURERANDOM-ORDER-00,DRBG$HybridSecureRandom.<init>,org.spongycastle.jcajce.provider.drbg.DRBG$HybridSecureRandom,<init>,UNOBSERVED_CREATION,,99,244,1,DRBG.java:233,high,
SecureRandomSpec,SECURERANDOM-ORDER-00,DRBG$HybridSecureRandom$SignallingEntropySource.getEntropy,org.spongycastle.jcajce.provider.drbg.DRBG$HybridSecureRandom$SignallingEntropySource,getEntropy,UNOBSERVED_CREATION,,99,244,1,DRBG.java:294,high,
SecureRandomSpec,SECURERANDOM-ORDER-00,DRBG$HybridSecureRandom$SignallingEntropySource$EntropyGatherer.run,org.spongycastle.jcajce.provider.drbg.DRBG$HybridSecureRandom$SignallingEntropySource$EntropyGatherer,run,UNOBSERVED_CREATION,,99,244,1,DRBG.java:326,high,
SignatureSpec,SIGNATURE-ALG-03,JcaContentVerifierProviderBuilder.createRawSig,org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder,createRawSig,GENUINE_PER_RULE,no,1,1,1,Unknown Source:13,high,NONEwithRSA is BC's raw-signature step of a two-step PKCS#1 v1.5 verification (digest computed separately); the digest algorithm is elsewhere
SignatureSpec,SIGNATURE-ORDER-00,SignatureUpdatingOutputStream.write,org.bouncycastle.jcajce.io.SignatureUpdatingOutputStream,write,ARTIFACT_OTHER,,1,2,1,Unknown Source:8,high,
SignatureSpec,SIGNATURE-ORDER-00,JcaContentSignerBuilder$1.getSignature,org.bouncycastle.operator.jcajce.JcaContentSignerBuilder$1,getSignature,ARTIFACT_OTHER,,1,1,1,Unknown Source:7,high,
SignatureSpec,SIGNATURE-ORDER-00,OpenSSLX509Certificate.verifyInternal,org.conscrypt.OpenSSLX509Certificate,verifyInternal,ARTIFACT_OTHER,,5,12,1,OpenSSLX509Certificate.java:402,high,
