                           spec                               code        event                                                                                                    cls                          method  lines  runkeys  apks                                                                src                                  vals                                                                                         msg
88            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                  com.andrognito.patternlockview.utils.PatternLockUtils                   patternToSha1      5        5     1                                           PatternLockUtils.java:90                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
113           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                         org.eclipse.jgit.lib.Constants                newMessageDigest      5        5     1                                                 Constants.java:501                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
114           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                       org.fossify.commons.views.PinTab                    getHashedPin      4        4     1                                                      PinTab.kt:134                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
111           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                                        okio.ByteString                      digest$jvm      3        3     1                                                  ByteString.kt:103                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
90            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                         com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt            getCurrentSignatures      1        1     1                                          ExtensionFunctions.kt:297                                 [SHA]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA
107           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                     io.ktor.util.CryptoKt__CryptoJvmKt                          Digest      1        1     1                                                    CryptoJvm.kt:47                                [SHA1]                expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA1
109           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                       me.timschneeberger.rootlessjamesdsp.utils.extensions.MiscUtilsKt                          getMd5      1        1     1                                                    MiscUtils.kt:71                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
129           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                                                        okio.ByteString                     digest$okio   1504      699    13                                                   ByteString.kt:84                          [MD5, SHA-1]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
122           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                            com.google.firebase.crashlytics.internal.common.CommonUtils                            hash    702      297     3                                               CommonUtils.java:171                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
119           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzG    244       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:3                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
120           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzj    245       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:8                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
121           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                              com.google.android.gms.internal.ads.zzazv                             zze    244       99     1                 com.google.android.gms:play-services-ads@@25.3.0:6                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
124           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                         com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData              calculateChildType    180       99     1                                      AccessPointsAdapterData.kt:72                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
116           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                               com.absinthe.rulesbundle.utils.HashUtils                          digest    162       98     1                                                    HashUtils.kt:19                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
126           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                     de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1                            SHA1    172       98     1                                               AeSimpleSHA1.java:17                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
128           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                                        net.gaast.giggity.Schedule$Item                        hashCode    117       86     1                                                 Schedule.java:1153                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
123           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                              com.schwegelbin.openbible.logic.GettersKt                     getChecksum    121       62     1                                                     Getters.kt:138                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
125           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                     com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper              calculateGraphType    107       54     1                                                GraphWrapper.kt:172                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
117           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                  com.andrognito.patternlockview.utils.PatternLockUtils                   patternToSha1      5        5     1                                           PatternLockUtils.java:93                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
130           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                                       org.fossify.commons.views.PinTab                    getHashedPin      4        4     1                                                      PinTab.kt:136                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
118           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                         com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt            getCurrentSignatures      1        1     1                                          ExtensionFunctions.kt:299                                 [SHA]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA
127           MessageDigestSpec               MESSAGEDIGEST-ALG-03           d1                                                                                io.ktor.util.DigestImpl                      build-impl      1        1     1                                                    CryptoJvm.kt:58                                [SHA1]                expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA1
146           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                                                        okio.ByteString                     digest$okio   1505      699    13                                                   ByteString.kt:84                                    []                             the observed call sequence is not one MessageDigestSpec accepts
177           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                                                        okio.ByteString                     digest$okio   1505      699    13                                                   ByteString.kt:83                                    []                             the observed call sequence is not one MessageDigestSpec accepts
138           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                            com.google.firebase.crashlytics.internal.common.CommonUtils                            hash    702      297     3                                               CommonUtils.java:171                                    []                             the observed call sequence is not one MessageDigestSpec accepts
169           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                            com.google.firebase.crashlytics.internal.common.CommonUtils                            hash    702      297     3                                               CommonUtils.java:169                                    []                             the observed call sequence is not one MessageDigestSpec accepts
150           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                       com.google.android.gms.measurement.internal.zzgi                             zzh    551      212     3   com.google.android.gms:play-services-measurement-impl@@23.2.0:29                                    []                             the observed call sequence is not one MessageDigestSpec accepts
149           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                   com.google.android.gms.common.util.AndroidUtilsLight  getPackageCertificateHashBytes    257      198     2            com.google.android.gms:play-services-basement@@18.9.0:4                                    []                             the observed call sequence is not one MessageDigestSpec accepts
157           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                                             io.sentry.util.StringUtils             calculateStringHash    125      101     2                                               StringUtils.java:132                                    []                             the observed call sequence is not one MessageDigestSpec accepts
134           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzG    244       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:3                                    []                             the observed call sequence is not one MessageDigestSpec accepts
135           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzj    245       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:8                                    []                             the observed call sequence is not one MessageDigestSpec accepts
136           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                              com.google.android.gms.internal.ads.zzazv                             zze    244       99     1                 com.google.android.gms:play-services-ads@@25.3.0:6                                    []                             the observed call sequence is not one MessageDigestSpec accepts
140           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                         com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData              calculateChildType    180       99     1                                      AccessPointsAdapterData.kt:72                                    []                             the observed call sequence is not one MessageDigestSpec accepts
151           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                       com.google.android.gms.measurement.internal.zzop                             zza    164       99     1  com.google.android.gms:play-services-measurement-impl@@22.1.0:176                                    []                             the observed call sequence is not one MessageDigestSpec accepts
155           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                                        github.paroj.dsub2000.util.Util                          md5Hex    282       99     1                                                     Util.java:1007                                    []                             the observed call sequence is not one MessageDigestSpec accepts
165           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzG    244       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:2                                    []                             the observed call sequence is not one MessageDigestSpec accepts
166           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzj    490       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:6                                    []                             the observed call sequence is not one MessageDigestSpec accepts
167           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                              com.google.android.gms.internal.ads.zzazv                             zze    244       99     1                 com.google.android.gms:play-services-ads@@25.3.0:5                                    []                             the observed call sequence is not one MessageDigestSpec accepts
171           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                         com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData              calculateChildType    180       99     1                                      AccessPointsAdapterData.kt:68                                    []                             the observed call sequence is not one MessageDigestSpec accepts
131           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                               com.absinthe.rulesbundle.utils.HashUtils                          digest    162       98     1                                                    HashUtils.kt:19                                    []                             the observed call sequence is not one MessageDigestSpec accepts
142           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                     de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1                            SHA1    172       98     1                                               AeSimpleSHA1.java:17                                    []                             the observed call sequence is not one MessageDigestSpec accepts
162           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                               com.absinthe.rulesbundle.utils.HashUtils                          digest    162       98     1                                                    HashUtils.kt:18                                    []                             the observed call sequence is not one MessageDigestSpec accepts
173           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                     de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1                            SHA1    172       98     1                                               AeSimpleSHA1.java:16                                    []                             the observed call sequence is not one MessageDigestSpec accepts
145           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                                        net.gaast.giggity.Schedule$Item                        hashCode    117       86     1                                                 Schedule.java:1153                                    []                             the observed call sequence is not one MessageDigestSpec accepts
176           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                                        net.gaast.giggity.Schedule$Item                        hashCode    117       86     1                                                 Schedule.java:1152                                    []                             the observed call sequence is not one MessageDigestSpec accepts
144           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                      io.matthewnelson.kmp.tor.runtime.FileID$Companion                       createFID     87       75     1                                                       FileID.kt:59                                    []                             the observed call sequence is not one MessageDigestSpec accepts
156           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                      io.matthewnelson.kmp.tor.runtime.FileID$Companion              createFID$lambda$0     85       74     1                                                       FileID.kt:57                                    []                             the observed call sequence is not one MessageDigestSpec accepts
148           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                                                 com.apk.axml.APKParser       getCertificateFingerprint    106       73     1                                                 APKParser.java:124                                    []                             the observed call sequence is not one MessageDigestSpec accepts
175           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                      io.matthewnelson.kmp.tor.runtime.FileID$Companion              createFID$lambda$0     84       73     1                                                       FileID.kt:58                                    []                             the observed call sequence is not one MessageDigestSpec accepts
161           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                             org.quantumbadger.redreader.common.General                            sha1     86       69     1                                                     General.kt:540                                    []                             the observed call sequence is not one MessageDigestSpec accepts
170           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                              com.schwegelbin.openbible.logic.GettersKt                     getChecksum    156       64     1                                                     Getters.kt:135                                    []                             the observed call sequence is not one MessageDigestSpec accepts
139           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                              com.schwegelbin.openbible.logic.GettersKt                     getChecksum    121       62     1                                                     Getters.kt:138                                    []                             the observed call sequence is not one MessageDigestSpec accepts
153           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                               com.sapuseven.untis.data.cache.DiskCache                    getCacheFile     56       55     1                                                    DiskCache.kt:63                                    []                             the observed call sequence is not one MessageDigestSpec accepts
141           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                     com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper              calculateGraphType    107       54     1                                                GraphWrapper.kt:172                                    []                             the observed call sequence is not one MessageDigestSpec accepts
172           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                     com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper              calculateGraphType    107       54     1                                                GraphWrapper.kt:168                                    []                             the observed call sequence is not one MessageDigestSpec accepts
152           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                com.password.monitor.utils.HashUtils$Companion$getHashPrefixAndSuffix$2                   invokeSuspend     63       48     1                                                    HashUtils.kt:34                                    []                             the observed call sequence is not one MessageDigestSpec accepts
154           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                                               eu.faircode.email.Helper                  getFingerprint     47       43     1                                                   Helper.java:3308                                    []                             the observed call sequence is not one MessageDigestSpec accepts
137           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                   com.google.common.hash.MessageDigestHashFunction$MessageDigestHasher                            hash     16       14     1                                 MessageDigestHashFunction.java:167                                    []                             the observed call sequence is not one MessageDigestSpec accepts
168           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                   com.google.common.hash.MessageDigestHashFunction$MessageDigestHasher                          update     16       14     1                                 MessageDigestHashFunction.java:149                                    []                             the observed call sequence is not one MessageDigestSpec accepts
132           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                  com.andrognito.patternlockview.utils.PatternLockUtils                   patternToSha1      5        5     1                                           PatternLockUtils.java:93                                    []                             the observed call sequence is not one MessageDigestSpec accepts
160           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                          org.eclipse.jgit.storage.file.FileBasedConfig                            hash      5        5     1                                           FileBasedConfig.java:208                                    []                             the observed call sequence is not one MessageDigestSpec accepts
163           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                  com.andrognito.patternlockview.utils.PatternLockUtils                   patternToSha1      5        5     1                                           PatternLockUtils.java:91                                    []                             the observed call sequence is not one MessageDigestSpec accepts
147           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                                       org.fossify.commons.views.PinTab                    getHashedPin      4        4     1                                                      PinTab.kt:136                                    []                             the observed call sequence is not one MessageDigestSpec accepts
178           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                                       org.fossify.commons.views.PinTab                    getHashedPin      4        4     1                                                      PinTab.kt:135                                    []                             the observed call sequence is not one MessageDigestSpec accepts
159           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                                                                        okio.ByteString                      digest$jvm      3        3     1                                                  ByteString.kt:103                                    []                             the observed call sequence is not one MessageDigestSpec accepts
133           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                         com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt            getCurrentSignatures      1        1     1                                          ExtensionFunctions.kt:299                                    []                             the observed call sequence is not one MessageDigestSpec accepts
143           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d1                                                                                io.ktor.util.DigestImpl                      build-impl      1        1     1                                                    CryptoJvm.kt:58                                    []                             the observed call sequence is not one MessageDigestSpec accepts
158           MessageDigestSpec             MESSAGEDIGEST-ORDER-00           d2                                       me.timschneeberger.rootlessjamesdsp.utils.extensions.MiscUtilsKt                          getMd5      1        1     1                                                    MiscUtils.kt:71                                    []                             the observed call sequence is not one MessageDigestSpec accepts
164           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                         com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt            getCurrentSignatures      1        1     1                                          ExtensionFunctions.kt:298                                    []                             the observed call sequence is not one MessageDigestSpec accepts
174           MessageDigestSpec             MESSAGEDIGEST-ORDER-00       update                                                                                io.ktor.util.DigestImpl                 plusAssign-impl      1        1     1                                                    CryptoJvm.kt:51                                    []                             the observed call sequence is not one MessageDigestSpec accepts
180              PBEKeySpecSpec               PBEKEYSPEC-CONSTR-00           c1                                                     com.google.android.vending.licensing.AESObfuscator                          <init>    227       99     1                                              AESObfuscator.java:59                                [1024]                                                       the third argument should be >= 10000
179              PBEKeySpecSpec               PBEKEYSPEC-CONSTR-00           c1                                                        app.michaelwuensch.bitbanana.util.UtilFunctions                    encodePbkdf2      1        1     1                                              UtilFunctions.java:93                                [5000]                                                       the third argument should be >= 10000
181  RSAKeyGenParameterSpecSpec  RSAKEYGENPARAMETERSPEC-KEYSIZE-00           c1                         org.bouncycastle.jcajce.provider.asymmetric.compositesignatures.CompositeIndex                        <clinit>   1095       97     1                                                 Unknown Source:358                                [3072]                                                 the rsa key size is not one the rule admits
182              SSLContextSpec                 SSLCONTEXT-FORB-00   getDefault                                                              at.bitfire.cert4android.CustomCertService                        <clinit>      6        5     1                                            CustomCertService.kt:65                                    []                         SSLContext.getDefault() is forbidden by the expert SSLContext.crysl
183              SSLContextSpec                SSLCONTEXT-ORDER-00       engine                                                              at.bitfire.cert4android.CustomCertService                        <clinit>      6        5     1                                            CustomCertService.kt:65                                    []                                the observed call sequence is not one SSLContextSpec accepts
184              SSLContextSpec                SSLCONTEXT-PROTO-00         init                                    de.lukasneugebauer.nextcloudcookbook.core.util.OkHttpClientProvider   configureTrustAllCertificates     96       75     1                                         OkHttpClientProvider.kt:74                                 [SSL]                                          expecting one of TLSV1.2,TLSV1.3,TLS but found SSL
186        SecretKeyFactorySpec            SECRETKEYFACTORY-ALG-00          get                                                     com.google.android.vending.licensing.AESObfuscator                          <init>    227       99     1                                              AESObfuscator.java:57       [PBEWITHSHAAND256BITAES-CBC-BC]  expecting one of PBKDF2WithHmacSHA512,PBKDF2WithHmacSHA384,PBKDF2WithHmacSHA256,PBKDF2With
185        SecretKeyFactorySpec            SECRETKEYFACTORY-ALG-00          get                                                        app.michaelwuensch.bitbanana.util.UtilFunctions                    encodePbkdf2      1        1     1                                              UtilFunctions.java:94                  [PBKDF2WithHmacSHA1]  expecting one of PBKDF2WithHmacSHA512,PBKDF2WithHmacSHA384,PBKDF2WithHmacSHA256,PBKDF2With
189           SecretKeySpecSpec               SECRETKEYSPEC-ALG-00           c1                                                                                       org.cry.otp.TOTP                        hmac_sha      3        3     1                                                       TOTP.java:46                                 [RAW]  expecting one of AES,HMACSHA256,HMACSHA384,HMACSHA512,HMAC-SHA256,HMAC/SHA256,HMAC-SHA384,
187           SecretKeySpecSpec               SECRETKEYSPEC-ALG-00           c1                                                              com.beemdevelopment.aegis.crypto.otp.HOTP                         getHash      2        2     1                                                       HOTP.java:32                                 [RAW]  expecting one of AES,HMACSHA256,HMACSHA384,HMACSHA512,HMAC-SHA256,HMAC/SHA256,HMAC-SHA384,
188           SecretKeySpecSpec               SECRETKEYSPEC-ALG-00           c1                                                                                       org.cry.otp.HOTP                       hmac_sha1      1        1     1                                                       HOTP.java:32                                 [RAW]  expecting one of AES,HMACSHA256,HMACSHA384,HMACSHA512,HMAC-SHA256,HMAC/SHA256,HMAC-SHA384,
203            SecureRandomSpec              SECURERANDOM-ORDER-00     setSeed2                                                               io.ktor.util.NonceKt$nonceGeneratorJob$1                   invokeSuspend   1992      102     2                                                        Nonce.kt:81                                    []                              the observed call sequence is not one SecureRandomSpec accepts
191            SecureRandomSpec              SECURERANDOM-ORDER-00           g2                                                               io.ktor.util.NonceKt$nonceGeneratorJob$1                   invokeSuspend    653      100     2                                                        Nonce.kt:52                                    []                              the observed call sequence is not one SecureRandomSpec accepts
200            SecureRandomSpec              SECURERANDOM-ORDER-00        next2                                                               io.ktor.util.NonceKt$nonceGeneratorJob$1                   invokeSuspend    663      100     2                                                        Nonce.kt:63                                    []                              the observed call sequence is not one SecureRandomSpec accepts
202            SecureRandomSpec              SECURERANDOM-ORDER-00     setSeed1                                                               io.ktor.util.NonceKt$nonceGeneratorJob$1                   invokeSuspend    663      100     2                                                        Nonce.kt:77                                    []                              the observed call sequence is not one SecureRandomSpec accepts
193            SecureRandomSpec              SECURERANDOM-ORDER-00           g2                                                                          org.minidns.AbstractDnsClient                          <init>    202       99     1                                         AbstractDnsClient.java:126                                    []                              the observed call sequence is not one SecureRandomSpec accepts
195            SecureRandomSpec              SECURERANDOM-ORDER-00      genSeed                                              org.spongycastle.crypto.prng.BasicEntropySourceProvider$1                      getEntropy    244       99     1                                 BasicEntropySourceProvider.java:53                                    []                              the observed call sequence is not one SecureRandomSpec accepts
196            SecureRandomSpec              SECURERANDOM-ORDER-00      genSeed                                                             org.spongycastle.jcajce.provider.drbg.DRBG                createBaseRandom    488       99     1                                                      DRBG.java:128                                    []                              the observed call sequence is not one SecureRandomSpec accepts
197            SecureRandomSpec              SECURERANDOM-ORDER-00      genSeed                                          org.spongycastle.jcajce.provider.drbg.DRBG$HybridSecureRandom                          <init>    244       99     1                                                      DRBG.java:233                                    []                              the observed call sequence is not one SecureRandomSpec accepts
198            SecureRandomSpec              SECURERANDOM-ORDER-00      genSeed                  org.spongycastle.jcajce.provider.drbg.DRBG$HybridSecureRandom$SignallingEntropySource                      getEntropy    244       99     1                                                      DRBG.java:294                                    []                              the observed call sequence is not one SecureRandomSpec accepts
199            SecureRandomSpec              SECURERANDOM-ORDER-00      genSeed  org.spongycastle.jcajce.provider.drbg.DRBG$HybridSecureRandom$SignallingEntropySource$EntropyGatherer                             run    244       99     1                                                      DRBG.java:326                                    []                              the observed call sequence is not one SecureRandomSpec accepts
190            SecureRandomSpec              SECURERANDOM-ORDER-00           g2                                                                                   io.ktor.util.NonceKt               getInstanceOrNull      3        3     1                                                       Nonce.kt:106                                    []                              the observed call sequence is not one SecureRandomSpec accepts
194            SecureRandomSpec              SECURERANDOM-ORDER-00      genSeed                                                               io.ktor.util.NonceKt$nonceGeneratorJob$1                   invokeSuspend      6        3     1                                                        Nonce.kt:43                                    []                              the observed call sequence is not one SecureRandomSpec accepts
192            SecureRandomSpec              SECURERANDOM-ORDER-00           g2                                                                     io.treehouses.remote.ssh.Encryptor                         encrypt      1        1     1                                                    Encryptor.kt:65                                    []                              the observed call sequence is not one SecureRandomSpec accepts
201            SecureRandomSpec              SECURERANDOM-ORDER-00        next2                                                                     io.treehouses.remote.ssh.Encryptor                         encrypt      1        1     1                                                    Encryptor.kt:65                                    []                              the observed call sequence is not one SecureRandomSpec accepts
204               SignatureSpec                   SIGNATURE-ALG-03           i4                                     org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder                    createRawSig      1        1     1                                                  Unknown Source:13                         [NONEWITHRSA]  expecting one of SHA256withRSA,SHA256withECDSA,SHA256withDSA,SHA384withRSA,SHA512withRSA,S
207               SignatureSpec                 SIGNATURE-ORDER-00       update                                                                   org.conscrypt.OpenSSLX509Certificate                  verifyInternal      6        5     1                                    OpenSSLX509Certificate.java:402                                    []                                 the observed call sequence is not one SignatureSpec accepts
208               SignatureSpec                 SIGNATURE-ORDER-00           v1                                                                   org.conscrypt.OpenSSLX509Certificate                  verifyInternal      6        5     1                                    OpenSSLX509Certificate.java:403                                    []                                 the observed call sequence is not one SignatureSpec accepts
205               SignatureSpec                 SIGNATURE-ORDER-00           s1                                             org.bouncycastle.operator.jcajce.JcaContentSignerBuilder$1                    getSignature      1        1     1                                                   Unknown Source:7                                    []                                 the observed call sequence is not one SignatureSpec accepts
206               SignatureSpec                 SIGNATURE-ORDER-00       update                                               org.bouncycastle.jcajce.io.SignatureUpdatingOutputStream                           write      2        1     1                                                   Unknown Source:8                                    []                                 the observed call sequence is not one SignatureSpec accepts
216     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                                                     okhttp3.internal.platform.Platform            platformTrustManager   7910     3886    54                                                     Platform.kt:78                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
236     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                                                     okhttp3.internal.platform.Platform            platformTrustManager   7909     3883    54                                                     Platform.kt:80                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
226     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                                                     okhttp3.internal.platform.Platform            platformTrustManager   7908     3881    54                                                     Platform.kt:81                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
217     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                                                           okhttp3.tls.internal.TlsUtil                 newTrustManager    633      198     2                                                      TlsUtil.kt:64                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
227     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                                                           okhttp3.tls.internal.TlsUtil                 newTrustManager    633      198     2                                                      TlsUtil.kt:66                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
237     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                                                           okhttp3.tls.internal.TlsUtil                 newTrustManager    633      198     2                                                      TlsUtil.kt:64                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
215     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                                                                  okhttp3.internal.Util            platformTrustManager    323      197     2                                                      Util.java:638                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
225     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                                                                  okhttp3.internal.Util            platformTrustManager    323      197     2                                                      Util.java:641                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
235     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                                                                  okhttp3.internal.Util            platformTrustManager    323      197     2                                                      Util.java:640                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
214     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                                                 io.ktor.network.tls.TLSConfigBuilderKt                findTrustManager    227      183     4                                            TLSConfigBuilder.kt:158                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
224     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                                                 io.ktor.network.tls.TLSConfigBuilderKt                findTrustManager    227      183     4                                            TLSConfigBuilder.kt:160                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
