n,section,rule,predicate,arity,negated,guarded,bindable,counterparts,counterparts_with_mop,disposition,reason,rule_line,clause
112,ENSURES,PasswordAuthentication,generatedPasswordAuthentication,1,no,no,yes,-,-,unmonitored-producer-side,no .mop specifies the producing rule,PasswordAuthentication.crysl:26,generatedPasswordAuthentication[this]
113,ENSURES,RSAKeyGenParameterSpec,preparedRSA,1,no,no,yes,KeyPairGenerator,KeyPairGenerator,producible,read by KeyPairGenerator,RSAKeyGenParameterSpec.crysl:19,preparedRSA[this]
114,ENSURES,SSLContext,generatedSSLContext,1,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedSSLContext,SSLContext.crysl:37,generatedSSLContext[this] after Init
115,ENSURES,SSLContext,generatedSSLEngine,1,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedSSLEngine,SSLContext.crysl:38,generatedSSLEngine[eng] after Engine
116,ENSURES,SSLEngine,generatedSSLEngine,1,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedSSLEngine,SSLEngine.crysl:46,generatedSSLEngine[this]
117,ENSURES,SSLParameters,generatedSSLParameters,1,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedSSLParameters,SSLParameters.crysl:48,generatedSSLParameters[this]
118,ENSURES,SecretKey,preparedKeyMaterial,1,no,no,yes,SecretKeySpec|X509EncodedKeySpec,SecretKeySpec|X509EncodedKeySpec,unmonitored-producer-side,no .mop specifies the producing rule,SecretKey.crysl:17,preparedKeyMaterial[keyMaterial] after GetEnc
119,NEGATES,SecretKey,generatedKey,2,no,no,yes,Cipher|Mac,Cipher|Mac,unmonitored-producer-side,no .mop specifies the producing rule,SecretKey.crysl:20,"generatedKey[this, _] after Destroy"
120,ENSURES,SecretKeyFactory,generatedKey,2,no,no,yes,Cipher|Mac,Cipher|Mac,producible,"read by Cipher, Mac",SecretKeyFactory.crysl:31,"generatedKey[key, algorithm]"
121,ENSURES,SecretKeySpec,speccedKey,2,no,no,yes,KeyFactory|SecretKeyFactory,KeyFactory|SecretKeyFactory,producible,"read by KeyFactory, SecretKeyFactory",SecretKeySpec.crysl:26,"speccedKey[this, _]"
122,ENSURES,SecretKeySpec,generatedKey,2,no,no,yes,Cipher|Mac,Cipher|Mac,producible,"read by Cipher, Mac",SecretKeySpec.crysl:27,"generatedKey[this, keyAlgorithm]"
123,ENSURES,SecureRandom,randomized,1,no,no,yes,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,producible,"read by AlgorithmParameterGenerator, Cipher, GCMParameterSpec, IvParameterSpec, KeyAgreement, KeyGenerator, PBEKeySpec, PBEParameterSpec, SSLContext, SecureRandom",SecureRandom.crysl:49,randomized[this] after Ins
124,ENSURES,SecureRandom,randomized,1,no,no,yes,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,producible,"read by AlgorithmParameterGenerator, Cipher, GCMParameterSpec, IvParameterSpec, KeyAgreement, KeyGenerator, PBEKeySpec, PBEParameterSpec, SSLContext, SecureRandom",SecureRandom.crysl:50,randomized[genSeed] after gS
125,ENSURES,SecureRandom,randomized,1,no,no,yes,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,producible,"read by AlgorithmParameterGenerator, Cipher, GCMParameterSpec, IvParameterSpec, KeyAgreement, KeyGenerator, PBEKeySpec, PBEParameterSpec, SSLContext, SecureRandom",SecureRandom.crysl:51,randomized[bytes] after nB
126,ENSURES,SecureRandom,randomized,1,no,no,yes,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,producible,"read by AlgorithmParameterGenerator, Cipher, GCMParameterSpec, IvParameterSpec, KeyAgreement, KeyGenerator, PBEKeySpec, PBEParameterSpec, SSLContext, SecureRandom",SecureRandom.crysl:52,randomized[randInt] after nI
127,ENSURES,SecureRandom,randomized,1,no,no,yes,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,AlgorithmParameterGenerator|Cipher|GCMParameterSpec|IvParameterSpec|KeyAgreement|KeyGenerator|PBEKeySpec|PBEParameterSpec|SSLContext|SecureRandom,producible,"read by AlgorithmParameterGenerator, Cipher, GCMParameterSpec, IvParameterSpec, KeyAgreement, KeyGenerator, PBEKeySpec, PBEParameterSpec, SSLContext, SecureRandom",SecureRandom.crysl:53,randomized[randIntInRange] after nIR
128,ENSURES,Signature,signed,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES signed,Signature.crysl:58,"signed[output, inputByte] after Sign"
129,ENSURES,Signature,signed,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES signed,Signature.crysl:59,"signed[output, input] after Sign"
130,ENSURES,Signature,signed,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES signed,Signature.crysl:60,"signed[output, inputByteBuffer] after Sign"
131,ENSURES,Signature,verified,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES verified,Signature.crysl:61,"verified[verified, sign] after Verify"
132,ENSURES,TrustAnchor,generatedTrustAnchor,1,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedTrustAnchor,TrustAnchor.crysl:21,generatedTrustAnchor[this]
133,ENSURES,TrustManagerFactory,generatedTrustManager,1,no,no,yes,SSLContext,SSLContext,producible,read by SSLContext,TrustManagerFactory.crysl:32,generatedTrustManager[this] after Init
134,ENSURES,TrustManagerFactory,generatedTrustManagers,1,no,no,yes,SSLContext,SSLContext,producible,read by SSLContext,TrustManagerFactory.crysl:33,generatedTrustManagers[trustManager] after GetTrustMng
135,ENSURES,X509EncodedKeySpec,speccedKey,2,no,no,yes,KeyFactory|SecretKeyFactory,KeyFactory|SecretKeyFactory,producible,"read by KeyFactory, SecretKeyFactory",X509EncodedKeySpec.crysl:17,"speccedKey[this, _] after Con"
