# The event-alphabet mapping re-anchored on the sole oracle (task 11.2, D-16). One row per
# (`.mop` event -> `ORDER` symbol) association, per specification, exactly as
# `order_alphabet_map.csv` carries it -- same associations, same dispositions, same
# reasons -- with `order_symbol`, `symbol_kind`, `rule` and `rule_line` re-derived against
# `RVSec-replication-package/tools/rules/`.
#
# Derived, never hand-written: `scripts/gh105_expert_alphabet.py --emit map` reproduces
# this file byte for byte, and `--check` fails if it does not. The pairing between the two
# catalogues is by signature and never by name -- `KeyPairGenerator`'s `i1..i4` are a
# permutation between them and `Signature`'s `u1`/`u2` are swapped, so a re-anchoring by
# name would look mechanical and be wrong exactly where it matters.
#
# What moved, and what did not: `order_alphabet_map_delta.csv` is the row-by-row account,
# including the symbols each catalogue declares that no event of this set covers. Nothing
# in either file moves a specification. Three rows change disposition under the expert
# alphabet -- `MacSpec.updateBuffer`, `SecureRandomSpec.next1` and `next3`, erased under
# api30 because the generated rule named no such call. Task 11.6 decided the first: it is
# mapped to `Mac.crysl`'s `u4` here and stays erased in the api30 map, which is the record
# of a different catalogue. The two `SecureRandomSpec` rows are undecided and stay erased;
# reopening either widens the language G-ORDER compares and needs a decision of its own.
#
# The two declared G-ORDER skips are unchanged and stay prose, never a data row:
# `RandomStringPassword` and `IvChainJunction`. The expert catalogue enunciates no rule for
# either -- there is no `RandomStringPassword.crysl` and no `IvChainJunction.crysl` among
# the 49 -- so the reason the api30 map gives for each holds verbatim against the sole
# oracle: the first bridges two JDK conversions no rule of the catalogue orders, and the
# second states no ordering of its own and would compare a free star against Cipher's.
spec,mop_event,order_symbol,symbol_kind,rule,rule_line,disposition,reason
MacSpec,update,u1,event,Mac.crysl,27,mapped,"`update(byte)`; the rule's `u1: update(inputByte)` is over the primitive `byte inputByte` (`Mac.crysl:6,27`). The `.mop` keeps the name `update` for this one overload after the aggregate split"
MacSpec,updateBytes,u2,event,Mac.crysl,28,mapped,"`update(byte[])`, the rule's `u2: update(preInput)` (`Mac.crysl:7,28`). Under api30 this event needed two rows, because that rule declared the same signature as both `u2` and `u4` and the map claimed both so no symbol went unclaimed; the expert rule declares it once and the second row is withdrawn (see `order_alphabet_map_delta.csv`, klass `withdrawn-duplicate`)"
MacSpec,updateRange,u3,event,Mac.crysl,29,mapped,"`update(byte[], int, int)`"
MacSpec,updateBuffer,u4,event,Mac.crysl,30,mapped,"`update(ByteBuffer)`, the rule's `u4: update(preInputByteBuffer)` (`Mac.crysl:9,30`), held by `Update` (`:31`). The row was erased under api30, correctly: that rule declared no such overload, and its `u4` was a second declaration of `update(byte[])`. Restored at task 11.6 against the sole oracle, and the restoration is load-bearing rather than decorative, which measurement settled against the expectation the task was written with. Against the `ere` as it stood the restoration is verdict-neutral -- that `ere` accepted zero updates through `(update | ... | updateBuffer)*`, so the witness `g1 i1 f1` stands whether or not `updateBuffer` carries a symbol. Against the repaired `ere`, which writes `+` where the rule writes `Update+`, it is what makes the repair hold: G-ORDER erases an unmapped event as an epsilon move, so an erased symbol inside a `+` satisfies the `+` with no call at all, and `g1 i1 f1` survives the repair unchanged. Measured both ways on 2026-08-26. The two changes are separate commits because one moves an accusation and the other does not, and this one goes first: a record whose effect appears only once the automaton catches up is still a record"
MacSpec,f1,f1,event,Mac.crysl,33,mapped,"`doFinal()` returning `byte[]`, the rule's `f1: output1 = doFinal()`"
MacSpec,f1Input,FinalWU,aggregate,Mac.crysl,36,mapped,"`doFinal(byte[])` is the rule's f2; the numbering is crossed against the `.mop`, whose f2 is the rule's f3"
MacSpec,f2,f3,event,Mac.crysl,35,mapped,"`doFinal(byte[], int)` is the rule's `f3: doFinal(output1, outOffset)`, the overload that writes the tag into a buffer the caller owns"
MessageDigestSpec,g1,g1,event,MessageDigest.crysl,16,mapped,`getInstance(String)` on the accepted-algorithm branch
MessageDigestSpec,g2,g2,event,MessageDigest.crysl,17,mapped,"`getInstance(String, String)`; the rule's g2 is `getInstance(digestAlg, _)`, one symbol over both provider overloads"
MessageDigestSpec,g3,g2,event,MessageDigest.crysl,17,mapped,"`getInstance(String, Provider)`, the other half of the rule's `_`; two `.mop` events stand for the one symbol"
MessageDigestSpec,g4,,,MessageDigest.crysl,,order-unmapped,"the rejected-algorithm accuser over the same `getInstance(String)` call as g1; it carries MESSAGEDIGEST-ALG-02 in its own body, so deleting it would lose a report, and the rule states the algorithm in CONSTRAINTS (:63), not in ORDER"
MessageDigestSpec,update,Update,aggregate,MessageDigest.crysl,24,mapped,"one `update(..)` event over all four overloads the rule names apart, which is the aggregate whole"
MessageDigestSpec,d1,d1,event,MessageDigest.crysl,26,mapped,`digest()`
MessageDigestSpec,d2,DWOU,aggregate,MessageDigest.crysl,29,mapped,"`digest(byte[])`, the rule's DWOU"
MessageDigestSpec,d3,d3,event,MessageDigest.crysl,28,mapped,"`digest(byte[], int, int)`"
SecretKeySpec,e1,GetEnc,aggregate,SecretKey.crysl,8,mapped,"this specification translates `SecretKey.crysl`, not `SecretKeySpec.crysl` -- its object is `javax.crypto.SecretKey` and its one event is `getEncoded()`, the rule's `ge1` inside `GetEnc` (`SecretKey.crysl:7-8`)"
CertPathTrustManagerParametersSpec,c1,c1,event,CertPathTrustManagerParameters.crysl,7,mapped,
DHParameterSpecSpec,c1,c1,event,DHParameterSpec.crysl,9,mapped,
DHParameterSpecSpec,c2,c2,event,DHParameterSpec.crysl,10,mapped,"the three-argument overload the rule names apart as `c2`; `ORDER Con` takes `c1 | c2`, so the two events stand for two symbols and not for one"
DSAParameterSpecSpec,c1,c1,event,DSAParameterSpec.crysl,9,mapped,
ECGenParameterSpecSpec,c1,c1,event,ECGenParameterSpec.crysl,7,mapped,
ECParameterSpecSpec,c1,c1,event,ECParameterSpec.crysl,10,mapped,"the pointcut binds no argument -- the rule states no CONSTRAINTS clause over the four the constructor takes -- and it is still that constructor, so the symbol is `c1`"
KeySpec,ge1,ge1,event,Key.crysl,7,mapped,"`getEncoded()`, the rule's one event and the only member of `GetEnc`. The `.mop` writes `ere : ge1*` where the rule writes `GetEnc*`; the star is the same star"
KeyStoreBuilderParametersSpec,c1,c1,event,KeyStoreBuilderParameters.crysl,7,mapped,"the pointcut is written over `Object+` because the DEX matcher's `TypeResolver.toDescriptor` cannot spell the nested `KeyStore.Builder`, and the rule's declared type is restored in the body with an `instanceof`. The event is still the rule's `c1: KeyStoreBuilderParameters(builder)`: what the pointcut widens is the match, not the association"
MGF1ParameterSpecSpec,c1,c1,event,MGF1ParameterSpec.crysl,7,mapped,
OAEPParameterSpecSpec,c1,c1,event,OAEPParameterSpec.crysl,11,mapped,
PKIXParametersSpec,c1,c1,event,PKIXParameters.crysl,7,mapped,
PKIXParametersSpec,c2,c2,event,PKIXParameters.crysl,8,mapped,"the rule writes this overload as `c2: PKIXParameters(_)`, and the underscore is the `Set<TrustAnchor>` constructor -- the only other one the class declares"
PKIXBuilderParametersSpec,c1,c1,event,PKIXBuilderParameters.crysl,9,mapped,
PKIXBuilderParametersSpec,c2,c2,event,PKIXBuilderParameters.crysl,10,mapped,
RSAKeyGenParameterSpecSpec,c1,c1,event,RSAKeyGenParameterSpec.crysl,8,mapped,
TrustAnchorSpec,c1,c1,event,TrustAnchor.crysl,9,mapped,"`TrustAnchor(String, PublicKey, byte[])` -- the rule's `c1: TrustAnchor(_, publicKey, _)`, whose bound position is the public key. It is `c3` that takes the `X500Principal`"
TrustAnchorSpec,c2,c2,event,TrustAnchor.crysl,10,mapped,
TrustAnchorSpec,c3,c3,event,TrustAnchor.crysl,11,mapped,
X509EncodedKeySpecSpec,c1,c1,event,X509EncodedKeySpec.crysl,7,mapped,
KeyAgreementSpec,get,Get,aggregate,KeyAgreement.crysl,18,mapped,"one event over `getInstance(String)`, `getInstance(String, String)` and `getInstance(String, Provider)`, which is the rule's `Get := g1 | g2` whole; api30 declares three overloads where the rule names two, and all three are the same `Gets`"
KeyAgreementSpec,init1,i1,event,KeyAgreement.crysl,20,mapped,"`init(privKey)`. The four `Init` alternatives are four events and not one fused event, although the rule's label fuses them, because they bind different arguments: only two carry the `random` of `randomized[random]` and only two carry the `params` of the two guarded parameter clauses. A fused event would leave three clauses of the rule with no site"
KeyAgreementSpec,init2,i2,event,KeyAgreement.crysl,21,mapped,"`init(privKey, params)`, the first of the two overloads that bind the parameter spec the guarded clauses at :47-48 name"
KeyAgreementSpec,init3,i3,event,KeyAgreement.crysl,22,mapped,"`init(privKey, params, random)`, the one overload that binds all three objects the rule's REQUIRES section names"
KeyAgreementSpec,init4,i4,event,KeyAgreement.crysl,23,mapped,"`init(privKey, random)`, the second site of `randomized[random]` and the one that binds no parameter spec"
KeyAgreementSpec,dophase,dp1,event,KeyAgreement.crysl,26,mapped,"`doPhase(pubKey, lastPhase)`, the whole of `DoPhase`; the returned `Key` is bound by nothing because no clause of the rule names it"
KeyAgreementSpec,gs1,gs1,event,KeyAgreement.crysl,29,mapped,"`sharedSecretBuffer = generateSecret()`, the first alternative of `GenSecretBuffer` and one of the two acceptance points of the rule's one ENSURES"
KeyAgreementSpec,gs2,gs2,event,KeyAgreement.crysl,30,mapped,"`generateSecret(sharedSecretBuffer, offset)`. The symbol is DECLARED by the rule at :30 and the label that should collect it is mis-bound: :31 reads `GenSecretBuffer := gs1 | g2`, and `g2` is the two-argument `getInstance` of :17. The evident intent is `gs1 | gs2` and this row maps the event the intent names, with the oracle-wart row of task gh109:0.1 against tools/rules/KeyAgreement.crysl as its warrant (D-21). It is a separate event from `gs1` and not fused with it because the buffer is the return value of one call and the first argument of the other, so one event cannot bind both"
KeyAgreementSpec,gs3,,,KeyAgreement.crysl,,order-unmapped,"`generateSecret(symmetricKeyAlgorithm)` is reached by the rule only through `noCallTo[gs3]` (:41), a CONSTRAINTS clause that forbids the call outright, and `gs3` appears in no ORDER: the alias `GenSecret := gs3 | GenSecretBuffer` at :34 is named by no clause of the rule and nothing transcribes it. The same reading as SSLContextSpec.getDefault and PBEKeySpecSpec.f1/f2: the event is a self-loop at every state, so it moves the language nowhere and the erasure hides nothing"
SSLEngineSpec,ec1,ec1,event,SSLEngine.crysl,8,mapped,"`setEnabledCipherSuites(cipherSuites)`, the whole of `EnableCipher` (:9)"
SSLEngineSpec,ep1,ep1,event,SSLEngine.crysl,11,mapped,"`setEnabledProtocols(protocols)`. The symbol is DECLARED by the rule at :11 and the label that should collect it is bound to nothing: :12 reads `EnableProtocol := cp1` and no event `cp1` exists anywhere in the rule. The evident intent is `EnableProtocol := ep1` -- `cp1` reads as a transposition of the two declared prefixes `ec1`/`ep1` -- and this row maps the event the intent names, with the oracle-wart row of task gh109:0.1 against tools/rules/SSLEngine.crysl as its warrant (D-21)"
SSLParametersSpec,c1,Con1,event,SSLParameters.crysl,8,mapped,"`SSLParameters()`, the first of the rule's three constructor profiles. The three are three events and not one fused event because the rule names them apart -- `Con1`, `Con2`, `Con3` are three labels of the ORDER, not one alias over three overloads -- and they bind different arguments"
SSLParametersSpec,c2,Con2,event,SSLParameters.crysl,9,mapped,"`SSLParameters(cipherSuites)`, the profile the ORDER pairs with a following `SetProtocol`"
SSLParametersSpec,c3,Con3,event,SSLParameters.crysl,10,mapped,"`SSLParameters(cipherSuites, protocols)`, the one event that binds both arrays and the one ORDER alternative that is a complete trace on its own"
SSLParametersSpec,cs,CipherSuite,event,SSLParameters.crysl,12,mapped,"`setCipherSuites(cipherSuites)`, the whole of `CipherSuite`"
SSLParametersSpec,sp,SetProtocol,event,SSLParameters.crysl,13,mapped,"`setProtocols(protocols)`, the whole of `SetProtocol`; it closes the `Con2` route and either half of the unordered pair the `Con1` route admits"
