admissibilidade (colunas, nao filtro): {'admissivel': 15653, 'inadmissivel': 22, 'estrutural': 171, 'parada_ferramenta': 246, 'lancamento_externo': 45}
unidades (apk, timeout) pareadas: 489 | timeouts: [60, 180, 300] | tasks: 16137 | tools: ['monkey', 'droidbot:dfs_greedy', 'droidbot:bfs_greedy', 'droidbot:dfs_naive', 'droidbot:bfs_naive', 'ape', 'droidmate', 'humanoid', 'ares', 'fastbot', 'qtesting']
CSVs em: /pedro/desenvolvimento/workspaces/workspaces-doutorado/workspace-rv/rvsec/rv-android/data/results/estudo02-20260916_consolidado

   T A                      B                      metric        medA    medB  A>B  A<B        p sig
 180 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_unique       0       0    6   11  0.27585 nao
 180 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_unique4       0       0    5    8   0.1841 nao
 180 droidbot:dfs_greedy    droidbot:bfs_greedy    cov_method  18.152  18.768   94   61  0.23133 nao
 180 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_total        0       0   14   14   0.5162 nao
 180 droidbot:dfs_greedy    droidbot:dfs_naive     cov_mop     15.578  14.103   93   39    3e-05 sim
 180 droidbot:dfs_greedy    droidbot:dfs_naive     mop_unique       0       0   16    8  0.04795 sim
 180 droidbot:dfs_greedy    droidbot:dfs_naive     mop_unique4       0       0   15    6  0.00695 sim
 180 droidbot:dfs_greedy    droidbot:dfs_naive     cov_method  18.152   17.34  111   46    2e-05 sim
 180 droidbot:dfs_greedy    droidbot:dfs_naive     mop_total        0       0   25   10  0.00325 sim
 180 droidbot:dfs_greedy    droidbot:bfs_naive     cov_mop     15.578  14.186   91   40  0.00019 sim
 180 droidbot:dfs_greedy    droidbot:bfs_naive     mop_unique       0       0   14    9  0.07674 nao
 180 droidbot:dfs_greedy    droidbot:bfs_naive     mop_unique4       0       0   13    7  0.02371 sim
 180 droidbot:dfs_greedy    droidbot:bfs_naive     cov_method  18.152  17.828  110   46    2e-05 sim
 180 droidbot:dfs_greedy    droidbot:bfs_naive     mop_total        0       0   22   13  0.01073 sim
 180 droidbot:dfs_greedy    ape                    cov_mop     15.578   24.79   13  130      0.0 sim
 180 droidbot:dfs_greedy    ape                    mop_unique       0       0   10   34  0.00068 sim
 180 droidbot:dfs_greedy    ape                    mop_unique4       0       0   10   31  0.00084 sim
 180 droidbot:dfs_greedy    ape                    cov_method  18.152  25.378   15  147      0.0 sim
 180 droidbot:dfs_greedy    ape                    mop_total        0       0   10   57      0.0 sim
 180 droidbot:dfs_greedy    droidmate              cov_mop     15.578  16.667   50   90    1e-05 sim
 180 droidbot:dfs_greedy    droidmate              mop_unique       0       0   11   16  0.35413 nao
 180 droidbot:dfs_greedy    droidmate              mop_unique4       0       0   10   14   0.6569 nao
 180 droidbot:dfs_greedy    droidmate              cov_method  18.152  20.337   57  104    4e-05 sim
 180 droidbot:dfs_greedy    droidmate              mop_total        0       0   13   35  0.00884 sim
 180 droidbot:dfs_greedy    humanoid               cov_mop     15.578  14.952   57   81  0.01465 sim
 180 droidbot:dfs_greedy    humanoid               mop_unique       0       0   12   21  0.83001 nao
 180 droidbot:dfs_greedy    humanoid               mop_unique4       0       0   10   19  0.92239 nao
 180 droidbot:dfs_greedy    humanoid               cov_method  18.152  18.587   65   95  0.00632 sim
 180 droidbot:dfs_greedy    humanoid               mop_total        0       0   17   25  0.93019 nao
 180 droidbot:dfs_greedy    ares                   cov_mop     15.578  16.335   59   83  0.02956 sim
 180 droidbot:dfs_greedy    ares                   mop_unique       0       0   21   17   0.4504 nao
 180 droidbot:dfs_greedy    ares                   mop_unique4       0       0   18   15  0.34299 nao
 180 droidbot:dfs_greedy    ares                   cov_method  18.152  18.775   72   90  0.15157 nao
 180 droidbot:dfs_greedy    ares                   mop_total        0       0   18   49   0.0005 sim
 180 droidbot:dfs_greedy    fastbot                cov_mop     15.578  15.603   69   75  0.53511 nao
 180 droidbot:dfs_greedy    fastbot                mop_unique       0       0   15   20   0.7174 nao
 180 droidbot:dfs_greedy    fastbot                mop_unique4       0       0   14   18   0.8005 nao
 180 droidbot:dfs_greedy    fastbot                cov_method  18.152  18.859   77   84  0.35019 nao
 180 droidbot:dfs_greedy    fastbot                mop_total        0       0   20   31  0.42766 nao
 180 droidbot:dfs_greedy    qtesting               cov_mop     15.578  12.145   83   51  0.00267 sim
 180 droidbot:dfs_greedy    qtesting               mop_unique       0       0   18   11  0.08889 nao
 180 droidbot:dfs_greedy    qtesting               mop_unique4       0       0   15   11   0.0335 sim
 180 droidbot:dfs_greedy    qtesting               cov_method  18.152  16.477  100   61  0.00324 sim
 180 droidbot:dfs_greedy    qtesting               mop_total        0       0   16   50      0.0 sim
 180 droidbot:bfs_greedy    droidbot:dfs_naive     cov_mop     15.618  14.103   88   45    4e-05 sim
 180 droidbot:bfs_greedy    droidbot:dfs_naive     mop_unique       0       0   17    4  0.00664 sim
 180 droidbot:bfs_greedy    droidbot:dfs_naive     mop_unique4       0       0   16    4    0.001 sim
 180 droidbot:bfs_greedy    droidbot:dfs_naive     cov_method  18.768   17.34  105   54    2e-05 sim
 180 droidbot:bfs_greedy    droidbot:dfs_naive     mop_total        0       0   25    7   0.0031 sim
 180 droidbot:bfs_greedy    droidbot:bfs_naive     cov_mop     15.618  14.186   89   37      0.0 sim
 180 droidbot:bfs_greedy    droidbot:bfs_naive     mop_unique       0       0   16    4  0.01664 sim
 180 droidbot:bfs_greedy    droidbot:bfs_naive     mop_unique4       0       0   15    4  0.00235 sim
 180 droidbot:bfs_greedy    droidbot:bfs_naive     cov_method  18.768  17.828  108   50      0.0 sim
 180 droidbot:bfs_greedy    droidbot:bfs_naive     mop_total        0       0   25    8  0.00671 sim
 180 droidbot:bfs_greedy    ape                    cov_mop     15.618   24.79   11  129      0.0 sim
 180 droidbot:bfs_greedy    ape                    mop_unique       0       0    9   27  0.00334 sim
 180 droidbot:bfs_greedy    ape                    mop_unique4       0       0    9   24  0.01579 sim
 180 droidbot:bfs_greedy    ape                    cov_method  18.768  25.378   13  149      0.0 sim
 180 droidbot:bfs_greedy    ape                    mop_total        0       0   11   60      0.0 sim
 180 droidbot:bfs_greedy    droidmate              cov_mop     15.618  16.667   45   97    2e-05 sim
 180 droidbot:bfs_greedy    droidmate              mop_unique       0       0   14   13  0.80056 nao
 180 droidbot:bfs_greedy    droidmate              mop_unique4       0       0   13   11  0.57687 nao
 180 droidbot:bfs_greedy    droidmate              cov_method  18.768  20.337   57  105    4e-05 sim
 180 droidbot:bfs_greedy    droidmate              mop_total        0       0   14   35  0.00363 sim
 180 droidbot:bfs_greedy    humanoid               cov_mop     15.618  14.952   63   75  0.14166 nao
 180 droidbot:bfs_greedy    humanoid               mop_unique       0       0   12   14  0.51638 nao
 180 droidbot:bfs_greedy    humanoid               mop_unique4       0       0   12   14  0.32734 nao
 180 droidbot:bfs_greedy    humanoid               cov_method  18.768  18.587   74   85   0.0296 sim
 180 droidbot:bfs_greedy    humanoid               mop_total        0       0   18   21   0.7746 nao
 180 droidbot:bfs_greedy    ares                   cov_mop     15.618  16.335   62   79  0.10138 nao
 180 droidbot:bfs_greedy    ares                   mop_unique       0       0   21   11  0.13192 nao
 180 droidbot:bfs_greedy    ares                   mop_unique4       0       0   20   11  0.06232 nao
 180 droidbot:bfs_greedy    ares                   cov_method  18.768  18.775   72   90     0.07 nao
 180 droidbot:bfs_greedy    ares                   mop_total        0       0   17   48  0.00041 sim
 180 droidbot:bfs_greedy    fastbot                cov_mop     15.618  15.603   72   67  0.98994 nao
 180 droidbot:bfs_greedy    fastbot                mop_unique       0       0   16   15  0.67984 nao
 180 droidbot:bfs_greedy    fastbot                mop_unique4       0       0   16   15  0.28066 nao
 180 droidbot:bfs_greedy    fastbot                cov_method  18.768  18.859   81   81  0.42748 nao
 180 droidbot:bfs_greedy    fastbot                mop_total        0       0   20   33  0.20599 nao
 180 droidbot:bfs_greedy    qtesting               cov_mop     15.618  12.145   85   47  0.00094 sim
 180 droidbot:bfs_greedy    qtesting               mop_unique       0       0   19   10  0.04604 sim
 180 droidbot:bfs_greedy    qtesting               mop_unique4       0       0   18   10  0.00657 sim
 180 droidbot:bfs_greedy    qtesting               cov_method  18.768  16.477   90   71   0.0124 sim
 180 droidbot:bfs_greedy    qtesting               mop_total        0       0   18   51      0.0 sim
 180 droidbot:dfs_naive     droidbot:bfs_naive     cov_mop     14.103  14.186   73   48  0.10624 nao
 180 droidbot:dfs_naive     droidbot:bfs_naive     mop_unique       0       0    6    7  0.83338 nao
 180 droidbot:dfs_naive     droidbot:bfs_naive     mop_unique4       0       0    5    6  0.65616 nao
 180 droidbot:dfs_naive     droidbot:bfs_naive     cov_method   17.34  17.828   86   67  0.03861 sim
 180 droidbot:dfs_naive     droidbot:bfs_naive     mop_total        0       0    7   12  0.35369 nao
 180 droidbot:dfs_naive     ape                    cov_mop     14.103   24.79    9  134      0.0 sim
 180 droidbot:dfs_naive     ape                    mop_unique       0       0    6   35      0.0 sim
 180 droidbot:dfs_naive     ape                    mop_unique4       0       0    6   33      0.0 sim
 180 droidbot:dfs_naive     ape                    cov_method   17.34  25.378   11  150      0.0 sim
 180 droidbot:dfs_naive     ape                    mop_total        0       0    3   68      0.0 sim
 180 droidbot:dfs_naive     droidmate              cov_mop     14.103  16.667   33  105      0.0 sim
 180 droidbot:dfs_naive     droidmate              mop_unique       0       0    7   20  0.01665 sim
 180 droidbot:dfs_naive     droidmate              mop_unique4       0       0    6   18  0.01134 sim
 180 droidbot:dfs_naive     droidmate              cov_method   17.34  20.337   46  116      0.0 sim
 180 droidbot:dfs_naive     droidmate              mop_total        0       0    6   39    2e-05 sim
 180 droidbot:dfs_naive     humanoid               cov_mop     14.103  14.952   39   99      0.0 sim
 180 droidbot:dfs_naive     humanoid               mop_unique       0       0    6   22  0.01921 sim
 180 droidbot:dfs_naive     humanoid               mop_unique4       0       0    6   21  0.00611 sim
 180 droidbot:dfs_naive     humanoid               cov_method   17.34  18.587   46  114      0.0 sim
 180 droidbot:dfs_naive     humanoid               mop_total        0       0   10   29  0.00917 sim
 180 droidbot:dfs_naive     ares                   cov_mop     14.103  16.335   53   89    6e-05 sim
 180 droidbot:dfs_naive     ares                   mop_unique       0       0   13   17  0.29372 nao
 180 droidbot:dfs_naive     ares                   mop_unique4       0       0   11   17  0.14771 nao
 180 droidbot:dfs_naive     ares                   cov_method   17.34  18.775   60  102    3e-05 sim
 180 droidbot:dfs_naive     ares                   mop_total        0       0    8   56      0.0 sim
 180 droidbot:dfs_naive     fastbot                cov_mop     14.103  15.603   51   91  0.00379 sim
 180 droidbot:dfs_naive     fastbot                mop_unique       0       0    8   21  0.01362 sim
 180 droidbot:dfs_naive     fastbot                mop_unique4       0       0    8   20  0.01332 sim
 180 droidbot:dfs_naive     fastbot                cov_method   17.34  18.859   60  102  0.00085 sim
 180 droidbot:dfs_naive     fastbot                mop_total        0       0    7   39      0.0 sim
 180 droidbot:dfs_naive     qtesting               cov_mop     14.103  12.145   70   64   0.3907 nao
 180 droidbot:dfs_naive     qtesting               mop_unique       0       0   12   11  0.74857 nao
 180 droidbot:dfs_naive     qtesting               mop_unique4       0       0   10   12  0.70857 nao
 180 droidbot:dfs_naive     qtesting               cov_method   17.34  16.477   79   83  0.66432 nao
 180 droidbot:dfs_naive     qtesting               mop_total        0       0   11   52      0.0 sim
 180 droidbot:bfs_naive     ape                    cov_mop     14.186   24.79    9  130      0.0 sim
 180 droidbot:bfs_naive     ape                    mop_unique       0       0    8   35    2e-05 sim
 180 droidbot:bfs_naive     ape                    mop_unique4       0       0    8   32    1e-05 sim
 180 droidbot:bfs_naive     ape                    cov_method  17.828  25.378   10  152      0.0 sim
 180 droidbot:bfs_naive     ape                    mop_total        0       0    4   65      0.0 sim
 180 droidbot:bfs_naive     droidmate              cov_mop     14.186  16.667   42   97      0.0 sim
 180 droidbot:bfs_naive     droidmate              mop_unique       0       0    7   18  0.01839 sim
 180 droidbot:bfs_naive     droidmate              mop_unique4       0       0    6   15  0.01486 sim
 180 droidbot:bfs_naive     droidmate              cov_method  17.828  20.337   43  117      0.0 sim
 180 droidbot:bfs_naive     droidmate              mop_total        0       0    8   35    7e-05 sim
 180 droidbot:bfs_naive     humanoid               cov_mop     14.186  14.952   42   95      0.0 sim
 180 droidbot:bfs_naive     humanoid               mop_unique       0       0    8   21  0.04831 sim
 180 droidbot:bfs_naive     humanoid               mop_unique4       0       0    8   20  0.02055 sim
 180 droidbot:bfs_naive     humanoid               cov_method  17.828  18.587   44  115      0.0 sim
 180 droidbot:bfs_naive     humanoid               mop_total        0       0   15   25   0.0633 nao
 180 droidbot:bfs_naive     ares                   cov_mop     14.186  16.335   45   93      0.0 sim
 180 droidbot:bfs_naive     ares                   mop_unique       0       0   13   19  0.31667 nao
 180 droidbot:bfs_naive     ares                   mop_unique4       0       0   12   18  0.14383 nao
 180 droidbot:bfs_naive     ares                   cov_method  17.828  18.775   47  114      0.0 sim
 180 droidbot:bfs_naive     ares                   mop_total        0       0    9   56      0.0 sim
 180 droidbot:bfs_naive     fastbot                cov_mop     14.186  15.603   52   88  0.00329 sim
 180 droidbot:bfs_naive     fastbot                mop_unique       0       0   11   21   0.0377 sim
 180 droidbot:bfs_naive     fastbot                mop_unique4       0       0   11   20  0.03753 sim
 180 droidbot:bfs_naive     fastbot                cov_method  17.828  18.859   55  105    5e-05 sim
 180 droidbot:bfs_naive     fastbot                mop_total        0       0   11   35  0.00024 sim
 180 droidbot:bfs_naive     qtesting               cov_mop     14.186  12.145   66   67  0.45523 nao
 180 droidbot:bfs_naive     qtesting               mop_unique       0       0   11   12  0.64699 nao
 180 droidbot:bfs_naive     qtesting               mop_unique4       0       0   10   12  0.78231 nao
 180 droidbot:bfs_naive     qtesting               cov_method  17.828  16.477   71   89   0.7669 nao
 180 droidbot:bfs_naive     qtesting               mop_total        0       0    9   53      0.0 sim
 180 ape                    droidmate              cov_mop      24.79  16.667  112   29      0.0 sim
 180 ape                    droidmate              mop_unique       0       0   27   13  0.00441 sim
 180 ape                    droidmate              mop_unique4       0       0   26   12  0.00215 sim
 180 ape                    droidmate              cov_method  25.378  20.337  129   32      0.0 sim
 180 ape                    droidmate              mop_total        0       0   52   19  0.00058 sim
 180 ape                    humanoid               cov_mop      24.79  14.952  130   13      0.0 sim
 180 ape                    humanoid               mop_unique       0       0   31   10   0.0006 sim
 180 ape                    humanoid               mop_unique4       0       0   28   11  0.00141 sim
 180 ape                    humanoid               cov_method  25.378  18.587  142   19      0.0 sim
 180 ape                    humanoid               mop_total        0       0   63   12      0.0 sim
 180 ape                    ares                   cov_mop      24.79  16.335  130   13      0.0 sim
 180 ape                    ares                   mop_unique       0       0   35   10    9e-05 sim
 180 ape                    ares                   mop_unique4       0       0   33   10   0.0003 sim
 180 ape                    ares                   cov_method  25.378  18.775  144   17      0.0 sim
 180 ape                    ares                   mop_total        0       0   42   30  0.33097 nao
 180 ape                    fastbot                cov_mop      24.79  15.603  112   29      0.0 sim
 180 ape                    fastbot                mop_unique       0       0   28    9  0.00026 sim
 180 ape                    fastbot                mop_unique4       0       0   25    9  0.00074 sim
 180 ape                    fastbot                cov_method  25.378  18.859  134   28      0.0 sim
 180 ape                    fastbot                mop_total        0       0   58   11      0.0 sim
 180 ape                    qtesting               cov_mop      24.79  12.145  126   12      0.0 sim
 180 ape                    qtesting               mop_unique       0       0   36   11    2e-05 sim
 180 ape                    qtesting               mop_unique4       0       0   33   11    3e-05 sim
 180 ape                    qtesting               cov_method  25.378  16.477  148   13      0.0 sim
 180 ape                    qtesting               mop_total        0       0   30   50    2e-05 sim
 180 droidmate              humanoid               cov_mop     16.667  14.952   91   51  0.00069 sim
 180 droidmate              humanoid               mop_unique       0       0   17   18  0.48082 nao
 180 droidmate              humanoid               mop_unique4       0       0   15   17  0.75739 nao
 180 droidmate              humanoid               cov_method  20.337  18.587   98   64  0.00726 sim
 180 droidmate              humanoid               mop_total        0       0   35   16  0.00347 sim
 180 droidmate              ares                   cov_mop     16.667  16.335   94   47  0.00044 sim
 180 droidmate              ares                   mop_unique       0       0   22   14  0.16897 nao
 180 droidmate              ares                   mop_unique4       0       0   20   14   0.3293 nao
 180 droidmate              ares                   cov_method  20.337  18.775  104   56  0.00029 sim
 180 droidmate              ares                   mop_total        0       0   25   46  0.05322 nao
 180 droidmate              fastbot                cov_mop     16.667  15.603   81   63  0.01448 sim
 180 droidmate              fastbot                mop_unique       0       0   19   15  0.56023 nao
 180 droidmate              fastbot                mop_unique4       0       0   17   14  0.46774 nao
 180 droidmate              fastbot                cov_method  20.337  18.859   90   71  0.04087 sim
 180 droidmate              fastbot                mop_total        0       0   30   25  0.17284 nao
 180 droidmate              qtesting               cov_mop     16.667  12.145  100   36      0.0 sim
 180 droidmate              qtesting               mop_unique       0       0   21    9  0.03577 sim
 180 droidmate              qtesting               mop_unique4       0       0   20    9   0.0183 sim
 180 droidmate              qtesting               cov_method  20.337  16.477  107   53      0.0 sim
 180 droidmate              qtesting               mop_total        0       0   17   51      0.0 sim
 180 humanoid               ares                   cov_mop     14.952  16.335   67   74  0.87084 nao
 180 humanoid               ares                   mop_unique       0       0   18   13  0.58247 nao
 180 humanoid               ares                   mop_unique4       0       0   18   12  0.32304 nao
 180 humanoid               ares                   cov_method  18.587  18.775   82   79  0.42027 nao
 180 humanoid               ares                   mop_total        0       0   16   56    1e-05 sim
 180 humanoid               fastbot                cov_mop     14.952  15.603   77   63  0.33447 nao
 180 humanoid               fastbot                mop_unique       0       0   15   13  0.79293 nao
 180 humanoid               fastbot                mop_unique4       0       0   15   13   0.6899 nao
 180 humanoid               fastbot                cov_method  18.587  18.859   86   76  0.64021 nao
 180 humanoid               fastbot                mop_total        0       0   16   30  0.07277 nao
 180 humanoid               qtesting               cov_mop     14.952  12.145   85   51    7e-05 sim
 180 humanoid               qtesting               mop_unique       0       0   23   10  0.06399 nao
 180 humanoid               qtesting               mop_unique4       0       0   22   10  0.03609 sim
 180 humanoid               qtesting               cov_method  18.587  16.477   94   66    3e-05 sim
 180 humanoid               qtesting               mop_total        0       0   20   52      0.0 sim
 180 ares                   fastbot                cov_mop     16.335  15.603   79   66  0.47308 nao
 180 ares                   fastbot                mop_unique       0       0   16   22  0.41158 nao
 180 ares                   fastbot                mop_unique4       0       0   15   21   0.4456 nao
 180 ares                   fastbot                cov_method  18.775  18.859   83   79  0.73488 nao
 180 ares                   fastbot                mop_total        0       0   52   23  0.00064 sim
 180 ares                   qtesting               cov_mop     16.335  12.145   93   51    6e-05 sim
 180 ares                   qtesting               mop_unique       0       0   16   14   0.2533 nao
 180 ares                   qtesting               mop_unique4       0       0   15   14  0.09973 nao
 180 ares                   qtesting               cov_method  18.775  16.477  103   59    3e-05 sim
 180 ares                   qtesting               mop_total        0       0   15   54      0.0 sim
 180 fastbot                qtesting               cov_mop     15.603  12.145   89   48  0.00077 sim
 180 fastbot                qtesting               mop_unique       0       0   23   11  0.02207 sim
 180 fastbot                qtesting               mop_unique4       0       0   21   11  0.01836 sim
 180 fastbot                qtesting               cov_method  18.859  16.477  102   57  0.00014 sim
 180 fastbot                qtesting               mop_total        0       0   20   51      0.0 sim
 300 monkey                 droidbot:dfs_greedy    cov_mop     17.861  17.647  102   39      0.0 sim
 300 monkey                 droidbot:dfs_greedy    mop_unique       0       0   21   17  0.59588 nao
 300 monkey                 droidbot:dfs_greedy    mop_unique4       0       0   20   16  0.40872 nao
 300 monkey                 droidbot:dfs_greedy    cov_method  22.056  20.509  117   45      0.0 sim
 300 monkey                 droidbot:dfs_greedy    mop_total        0       0   31   26    0.883 nao
 300 monkey                 droidbot:bfs_greedy    cov_mop     17.861   19.02   93   46      0.0 sim
 300 monkey                 droidbot:bfs_greedy    mop_unique       0       0   15   21  0.42655 nao
 300 monkey                 droidbot:bfs_greedy    mop_unique4       0       0   15   20  0.71834 nao
 300 monkey                 droidbot:bfs_greedy    cov_method  22.056  20.031  114   48      0.0 sim
 300 monkey                 droidbot:bfs_greedy    mop_total        0       0   25   30  0.35988 nao
 300 monkey                 droidbot:dfs_naive     cov_mop     17.861  14.419  120   20      0.0 sim
 300 monkey                 droidbot:dfs_naive     mop_unique       0       0   26   10  0.00821 sim
 300 monkey                 droidbot:dfs_naive     mop_unique4       0       0   25   10  0.00123 sim
 300 monkey                 droidbot:dfs_naive     cov_method  22.056  19.182  135   27      0.0 sim
 300 monkey                 droidbot:dfs_naive     mop_total        0       0   43    9    3e-05 sim
 300 monkey                 droidbot:bfs_naive     cov_mop     17.861  14.545  115   23      0.0 sim
 300 monkey                 droidbot:bfs_naive     mop_unique       0       0   23   13  0.08451 nao
 300 monkey                 droidbot:bfs_naive     mop_unique4       0       0   22   13  0.01726 sim
 300 monkey                 droidbot:bfs_naive     cov_method  22.056  18.831  134   28      0.0 sim
 300 monkey                 droidbot:bfs_naive     mop_total        0       0   36   16  0.01794 sim
 300 monkey                 ape                    cov_mop     17.861  30.303   23  116      0.0 sim
 300 monkey                 ape                    mop_unique       0       0    6   30    5e-05 sim
 300 monkey                 ape                    mop_unique4       0       0    6   29    7e-05 sim
 300 monkey                 ape                    cov_method  22.056  30.436   24  137      0.0 sim
 300 monkey                 ape                    mop_total        0       0    5   72      0.0 sim
 300 monkey                 droidmate              cov_mop     17.861   18.07   71   71  0.90195 nao
 300 monkey                 droidmate              mop_unique       0       0   15   18  0.74062 nao
 300 monkey                 droidmate              mop_unique4       0       0   15   17  0.65975 nao
 300 monkey                 droidmate              cov_method  22.056  21.582   80   81  0.47682 nao
 300 monkey                 droidmate              mop_total        0       0   20   53    4e-05 sim
 300 monkey                 humanoid               cov_mop     17.861   20.85   90   53  0.00042 sim
 300 monkey                 humanoid               mop_unique       0       0   17   15   0.5998 nao
 300 monkey                 humanoid               mop_unique4       0       0   16   15  0.48632 nao
 300 monkey                 humanoid               cov_method  22.056  21.555  100   61  0.00024 sim
 300 monkey                 humanoid               mop_total        0       0   29   24  0.89419 nao
 300 monkey                 ares                   cov_mop     17.861  18.503   88   57  0.00011 sim
 300 monkey                 ares                   mop_unique       0       0   19   16  0.29691 nao
 300 monkey                 ares                   mop_unique4       0       0   19   16  0.32525 nao
 300 monkey                 ares                   cov_method  22.056  21.193  103   59      0.0 sim
 300 monkey                 ares                   mop_total        0       0   24   50  0.00076 sim
 300 monkey                 fastbot                cov_mop     17.861   17.22   88   52  0.00018 sim
 300 monkey                 fastbot                mop_unique       0       0   21   19  0.61839 nao
 300 monkey                 fastbot                mop_unique4       0       0   21   18  0.23247 nao
 300 monkey                 fastbot                cov_method  22.056  19.919  104   57    3e-05 sim
 300 monkey                 fastbot                mop_total        0       0   31   28  0.34887 nao
 300 monkey                 qtesting               cov_mop     17.861  13.955  113   29      0.0 sim
 300 monkey                 qtesting               mop_unique       0       0   24   17  0.03911 sim
 300 monkey                 qtesting               mop_unique4       0       0   24   17  0.02306 sim
 300 monkey                 qtesting               cov_method  22.056  17.627  125   37      0.0 sim
 300 monkey                 qtesting               mop_total        0       0   22   56      0.0 sim
 300 droidbot:dfs_greedy    droidbot:bfs_greedy    cov_mop     17.647   19.02   70   66  0.42031 nao
 300 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_unique       0       0    6   15  0.01006 sim
 300 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_unique4       0       0    6   15  0.04355 sim
 300 droidbot:dfs_greedy    droidbot:bfs_greedy    cov_method  20.509  20.031   86   73    0.952 nao
 300 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_total        0       0   16   21  0.45487 nao
 300 droidbot:dfs_greedy    droidbot:dfs_naive     cov_mop     17.647  14.419   95   41    1e-05 sim
 300 droidbot:dfs_greedy    droidbot:dfs_naive     mop_unique       0       0   17    5  0.01169 sim
 300 droidbot:dfs_greedy    droidbot:dfs_naive     mop_unique4       0       0   16    4  0.00446 sim
 300 droidbot:dfs_greedy    droidbot:dfs_naive     cov_method  20.509  19.182  108   49      0.0 sim
 300 droidbot:dfs_greedy    droidbot:dfs_naive     mop_total        0       0   28    4    3e-05 sim
 300 droidbot:dfs_greedy    droidbot:bfs_naive     cov_mop     17.647  14.545   93   38    8e-05 sim
 300 droidbot:dfs_greedy    droidbot:bfs_naive     mop_unique       0       0   14    7  0.17466 nao
 300 droidbot:dfs_greedy    droidbot:bfs_naive     mop_unique4       0       0   13    6  0.04831 sim
 300 droidbot:dfs_greedy    droidbot:bfs_naive     cov_method  20.509  18.831  113   45      0.0 sim
 300 droidbot:dfs_greedy    droidbot:bfs_naive     mop_total        0       0   25    8  0.00336 sim
 300 droidbot:dfs_greedy    ape                    cov_mop     17.647  30.303   13  130      0.0 sim
 300 droidbot:dfs_greedy    ape                    mop_unique       0       0   10   34    3e-05 sim
 300 droidbot:dfs_greedy    ape                    mop_unique4       0       0   10   32    8e-05 sim
 300 droidbot:dfs_greedy    ape                    cov_method  20.509  30.436   14  147      0.0 sim
 300 droidbot:dfs_greedy    ape                    mop_total        0       0   10   70      0.0 sim
 300 droidbot:dfs_greedy    droidmate              cov_mop     17.647   18.07   45   95    2e-05 sim
 300 droidbot:dfs_greedy    droidmate              mop_unique       0       0   10   15  0.45891 nao
 300 droidbot:dfs_greedy    droidmate              mop_unique4       0       0    8   13  0.86197 nao
 300 droidbot:dfs_greedy    droidmate              cov_method  20.509  21.582   54  107    2e-05 sim
 300 droidbot:dfs_greedy    droidmate              mop_total        0       0   16   54  0.00049 sim
 300 droidbot:dfs_greedy    humanoid               cov_mop     17.647   20.85   62   75  0.00255 sim
 300 droidbot:dfs_greedy    humanoid               mop_unique       0       0   16   16  0.65995 nao
 300 droidbot:dfs_greedy    humanoid               mop_unique4       0       0   16   15  0.73115 nao
 300 droidbot:dfs_greedy    humanoid               cov_method  20.509  21.555   61   97  0.00013 sim
 300 droidbot:dfs_greedy    humanoid               mop_total        0       0   22   23  0.46288 nao
 300 droidbot:dfs_greedy    ares                   cov_mop     17.647  18.503   60   80  0.06534 nao
 300 droidbot:dfs_greedy    ares                   mop_unique       0       0   20   14  0.66875 nao
 300 droidbot:dfs_greedy    ares                   mop_unique4       0       0   17   13  0.46492 nao
 300 droidbot:dfs_greedy    ares                   cov_method  20.509  21.193   74   87   0.1497 nao
 300 droidbot:dfs_greedy    ares                   mop_total        0       0   25   45  0.00921 sim
 300 droidbot:dfs_greedy    fastbot                cov_mop     17.647   17.22   70   73  0.81673 nao
 300 droidbot:dfs_greedy    fastbot                mop_unique       0       0   15   20  0.94112 nao
 300 droidbot:dfs_greedy    fastbot                mop_unique4       0       0   15   17  0.82232 nao
 300 droidbot:dfs_greedy    fastbot                cov_method  20.509  19.919   82   78  0.86606 nao
 300 droidbot:dfs_greedy    fastbot                mop_total        0       0   20   33   0.9364 nao
 300 droidbot:dfs_greedy    qtesting               cov_mop     17.647  13.955   91   50  0.00126 sim
 300 droidbot:dfs_greedy    qtesting               mop_unique       0       0   23    9  0.02858 sim
 300 droidbot:dfs_greedy    qtesting               mop_unique4       0       0   19   10  0.02054 sim
 300 droidbot:dfs_greedy    qtesting               cov_method  20.509  17.627   98   63  0.00167 sim
 300 droidbot:dfs_greedy    qtesting               mop_total        0       0   19   51      0.0 sim
 300 droidbot:bfs_greedy    droidbot:dfs_naive     cov_mop      19.02  14.419  101   35      0.0 sim
 300 droidbot:bfs_greedy    droidbot:dfs_naive     mop_unique       0       0   21    1    9e-05 sim
 300 droidbot:bfs_greedy    droidbot:dfs_naive     mop_unique4       0       0   21    1  0.00016 sim
 300 droidbot:bfs_greedy    droidbot:dfs_naive     cov_method  20.031  19.182  111   48      0.0 sim
 300 droidbot:bfs_greedy    droidbot:dfs_naive     mop_total        0       0   32    3    1e-05 sim
